core_serial,flight_number,payload_name,payload_mass_kg,launch_site,date_utc
B1048,84,Starlink-1,15600.0,CCSFS SLC 40,2019-11-11
B1049,87,Starlink-2,15600.0,CCSFS SLC 40,2020-01-07
B1051,89,Starlink-3,15600.0,CCSFS SLC 40,2020-01-29
B1056,90,Starlink-4,15600.0,CCSFS SLC 40,2020-02-17
B1048,92,Starlink-5,15600.0,KSC LC 39A,2020-03-18
B1051,93,Starlink-6,15600.0,KSC LC 39A,2020-04-22
B1049,95,Starlink-7,15600.0,CCSFS SLC 40,2020-06-04
B1059,96,Starlink-8,15600.0,CCSFS SLC 40,2020-06-13
B1051,99,Starlink-9,15600.0,KSC LC 39A,2020-08-07
B1049,100,Starlink-10,15600.0,CCSFS SLC 40,2020-08-18
B1060,102,Starlink-11,15600.0,KSC LC 39A,2020-09-03
B1058,103,Starlink-12,15600.0,KSC LC 39A,2020-10-06
B1051,104,Starlink-13,15600.0,KSC LC 39A,2020-10-18
B1060,105,Starlink-14,15600.0,CCSFS SLC 40,2020-10-24
B1049,109,Starlink-15,15600.0,CCSFS SLC 40,2020-11-25
B1051,114,Starlink-16,15600.0,KSC LC 39A,2021-01-20
B1060,116,Starlink-18,15600.0,CCSFS SLC 40,2021-02-04
B1059,117,Starlink-19,15600.0,CCSFS SLC 40,2021-02-16
B1049,118,Starlink-17,15600.0,KSC LC 39A,2021-03-04
B1058,119,Starlink-20,15600.0,CCSFS SLC 40,2021-03-11
B1051,120,Starlink-21,15600.0,KSC LC 39A,2021-03-14
B1060,121,Starlink-22,15600.0,CCSFS SLC 40,2021-03-24
B1058,122,Starlink-23,15600.0,CCSFS SLC 40,2021-04-07
B1060,124,Starlink-24,15600.0,CCSFS SLC 40,2021-04-29
B1049,125,Starlink-25,15600.0,KSC LC 39A,2021-05-04
B1051,126,Starlink-27,15600.0,CCSFS SLC 40,2021-05-09
B1063,128,Starlink-28,15600.0,CCSFS SLC 40,2021-05-26
B1049,134,Starlink 2-1 (v1.5),15600.0,VAFB SLC 4E,2021-09-14
