date,booster_version
2025-02-15,Unknown
2025-02-21,Unknown
2025-02-23,Unknown
2025-02-27,Unknown
2025-08-26,Unknown
2025-08-27,Unknown
2025-08-28,Unknown
2025-08-30,Unknown
2025-08-31,Unknown
2025-09-10,Unknown
2025-09-15,Unknown
2025-09-15,FT
2025-09-01,Unknown
2025-10-01,Unknown
2025-11-01,Unknown
2025-01-01,Unknown
2026-05-01,Unknown
2026-08-01,Unknown
2026-10-01,Unknown
2026-12-01,Unknown
2026-01-01,Unknown
2027-01-01,Unknown
2027-02-01,Unknown
2027-03-01,Unknown
2027-04-01,Unknown
2027-05-01,Unknown
2027-08-01,Unknown
